Progress,Duration..in.seconds.,Finished,ready.to.participate,consent,mainDV_sterility,DV_Bill.Gates,vaccine_willingness,distress_COVID,worried_covid_1,worried_covid_2,Consecutively,Disturbances,Disturbances_specify,alone,purpose,purpose_specify,stance_vaccine,familiarity_sterility,familiarity_BillGates,Attention.check,age,gender,marital.status,children,religion,Religious.affiliation,education,political.affiliation,comments,correction.consent,Condition,exclusion,Group,Correction
100,262,1,1,1,3,2,3,3,2,3,1,1,,1,To gauge how susceptible people are to misinformation spread on social media,2,3,1,2,3,26,1,1,2,1,2,6,3,,1,3,0,1,3
100,367,1,1,1,2,1,1,4,4,4,1,1,,1,to see what are views were on covid and on the vaccination after reading something about potential side effect ,1,1,2,1,3,26,2,1,2,4,2,3,1,"I already got the vaccination. maybe there should be a question or place to select that. I think after getting the vaccination, youre viewpoints about it can change",1,6,0,0,3
100,361,1,1,1,2,1,3,3,2,2,1,1,,1,Differentiating personal judgement to proven facts,1,1,1,1,3,31,1,3,2,5,1,3,2,,1,2,0,1,2
100,471,1,1,1,4,2,3,2,3,3,1,1,,1,People's opinion on the vaccine,2,3,2,2,3,23,2,2,1,5,1,2,3,No,1,1,0,1,1
100,424,1,1,1,1,3,1,2,2,4,1,1,,1,looking at the reading comprehension skills of people and their views on the vaccine,2,1,1,1,3,21,2,1,2,1,1,2,2,,1,4,0,0,1
100,497,1,1,1,1,2,1,4,4,5,1,1,,1,To determine how individuals interpret information that they are afraid is true.,2,1,1,2,3,35,2,6,2,5,1,2,2,I do not have any comments at this time.,1,2,0,1,2
100,419,1,1,1,1,2,1,5,6,5,1,1,,1,"Perhaps to study the confidence in the coronavirus vaccine, or to study how people analyze sources or information and connect it with anti-vaxxers.",1,1,1,2,3,20,1,2,2,5,1,2,2,"I will not be surprised if there is a correlation between ""republican"" and believing that Bill Gates is a puppet master trying to lower the population.",1,6,0,0,3
100,466,1,1,1,1,1,1,3,4,5,1,1,,1,How people distinguish the truth,1,1,1,1,3,27,2,1,2,5,1,3,2,,1,1,0,1,1
100,789,1,1,1,7,6,1,3,3,3,1,1,,1,Thomas and his friend circal matter.,2,1,1,1,3,30,1,3,1,1,3,4,1,This survey is very nice.,1,4,0,0,1
100,334,1,1,1,2,4,1,5,4,4,1,1,,1,Measuring participants' critical thinking skills/skepticism?,1,1,1,2,3,38,1,1,2,5,1,3,2,,1,3,0,1,3
100,309,1,1,1,1,1,3,4,2,4,1,1,,1,see how people think about issues,1,1,1,2,3,34,1,2,2,5,1,6,3,impeach Frump,1,1,0,1,1
100,236,1,1,1,3,1,1,3,4,4,1,1,,1,Judging peoples perception of social media news and bias,1,1,2,1,3,21,2,1,2,5,1,3,2,,1,4,0,0,1
100,181,1,1,1,1,1,3,2,1,3,1,1,,1,Believability of social media news and rumors.,1,3,1,1,3,24,2,1,2,5,1,3,3,,1,6,0,0,3
100,260,1,1,1,4,4,1,4,5,5,1,1,,1,To see how we react to some conspericy news in reltion to geting the vaxcine.,1,1,2,2,3,22,1,1,2,1,2,3,3,,1,5,0,0,2
100,175,1,1,1,6,5,1,4,6,3,1,1,,1,To ask questions about getting a vaccine,2,1,2,2,3,25,1,3,2,1,2,3,2,,1,4,0,0,1
100,241,1,1,1,1,1,1,3,4,4,1,1,,1,See how gullible we are and the connection to willingness to take covid vaccine.,1,1,2,2,3,23,1,1,2,1,2,3,2,,1,3,0,1,3
100,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,NA,NA
100,168,1,1,1,4,5,3,4,3,4,1,1,,1,reception to COVID vaccine,1,3,1,2,3,25,1,3,2,1,2,3,3,Libertarian for Party,1,5,0,0,2
100,228,1,1,1,5,7,2,5,5,5,1,1,,1,covid vaccine thoughts ,2,2,2,2,3,23,2,1,1,1,1,1,2,,1,2,0,1,2
100,284,1,1,1,1,3,1,4,4,5,1,1,,1,To gather opinions on whether people can distinguish between fake news and the correlation to getting the vaccine,1,1,1,1,3,23,2,2,2,5,1,3,2,,1,1,0,1,1
100,282,1,1,1,2,2,1,3,4,4,1,1,,1,how agreeable the covid vaccine is,2,1,1,2,3,33,1,3,1,5,3,2,2,have a great day,1,6,0,0,3
100,155,1,1,1,1,1,3,4,5,4,1,1,,1,Not sure what it is for,2,3,1,1,3,40,2,4,2,1,2,3,2,,1,3,0,1,3
100,431,1,1,1,1,1,1,5,4,5,1,1,,1,Understanding feelings about the vaccine,1,1,1,2,3,21,3,2,2,5,1,2,2,,1,2,0,1,2
100,269,1,1,1,2,2,1,3,4,5,1,1,,1,To determine ones likelihood of believing a contrarian message,1,1,2,2,3,35,1,1,2,5,1,2,2,N/A,1,2,0,1,2
100,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,NA,NA
100,249,1,1,1,2,5,3,2,2,4,1,1,,1,What people think about the vaccine and conspiracy theories,1,3,2,2,3,20,2,2,2,1,2,2,3,,1,4,0,0,1
100,224,1,1,1,2,1,1,3,4,5,1,1,,1,the study may be about the general feelings on the pandemic,1,1,1,2,3,34,2,3,1,5,1,2,2,,1,4,0,0,1
100,218,1,1,1,2,3,1,4,3,5,1,1,,1,to gage people's reponses or feelings regarding covid-19 and the vaccine,1,1,1,1,3,18,1,2,2,5,1,2,2,n/a,1,3,0,1,3
100,341,1,1,1,1,1,1,3,3,4,1,1,,1,To study whether false information passed via social media could influence decision making.,2,1,1,2,3,25,1,2,1,5,1,2,3,,1,6,0,0,3
100,168,1,1,1,1,1,1,5,5,5,1,1,,1,i am not sure the purpose of the study,1,1,1,2,3,37,2,2,1,5,1,4,2,,1,6,0,0,3
100,415,1,1,1,7,4,2,2,3,2,1,1,,1,to see what my perceptions are of COVID-19 and the vaccine,2,2,1,2,3,38,2,3,1,1,2,2,3,,1,5,0,0,2
100,381,1,1,1,1,5,1,5,4,3,1,1,,1,The correlation between skepticism about the virus and the likelihood of being willing to get the vaccine ,2,1,1,2,3,20,2,1,2,5,1,2,3,no,1,1,0,1,1
100,189,1,1,1,1,1,1,3,3,4,1,1,,1,Thoughts on COVID and other factors related to it,1,1,1,1,3,28,1,4,2,5,1,2,3,,1,1,0,1,1
100,264,1,1,1,1,1,1,3,4,5,1,1,,1,Testing reasoning abilities,1,1,1,2,3,36,2,1,2,5,1,3,2,no,1,2,0,1,2
100,237,1,1,1,1,1,1,4,6,5,1,1,,1,To see if people form opinions about factual information based on what others say. ,1,1,1,1,3,27,2,2,2,5,1,2,2,,1,3,0,1,3
100,386,1,1,1,4,6,3,4,2,4,1,1,,1,survey feelings about the vaccine,2,3,2,2,3,30,2,1,2,1,1,3,1,,1,6,0,0,3
100,308,1,1,1,2,2,1,3,6,4,1,1,,1,To gauge people's opinions on COVID-19 and see if there is a connection between it and susceptibility to misinformation.,1,1,2,2,3,30,1,3,1,5,1,3,3,,1,5,0,0,2
100,185,1,1,1,3,2,1,3,4,4,1,1,,1,I think it may be trying to gauge how people are feeling about the coronavirus,1,1,1,1,3,27,2,2,2,5,1,3,3,,1,6,0,0,3
100,277,1,1,1,1,1,3,4,4,4,1,1,,1,coronavirus attitudes,1,1,1,2,3,29,1,1,2,1,1,3,2,,1,6,0,0,3
100,1585,1,1,1,3,5,2,3,4,4,1,1,,1,ABOUT COVID VACCINE AND HOW WE BELIEVE SOCIAL MEDIA,1,2,1,2,3,33,2,2,1,5,1,2,3,,1,5,2,0,2
100,335,1,1,1,1,2,3,3,6,2,1,1,,1,to understand false vs true preceptions.,1,1,1,2,3,25,1,3,2,1,3,3,3,Interesting survey!,1,1,0,1,1
100,258,1,1,1,1,1,1,4,4,5,1,1,,1,"Something about misinformation, maybe",2,1,1,2,3,30,2,3,2,5,1,4,2,,1,5,0,0,2
100,225,1,1,1,2,2,1,4,4,5,1,1,,1,The correlation between people believing a source saying that vaccines cause sterility with people agreeing to get the vaccine and worrying about the virus.,1,1,1,1,3,18,1,2,2,1,1,2,3,,1,2,0,1,2
100,286,1,1,1,1,1,1,3,2,3,1,1,,1,I think the purpose of the study was to ensure people carefully evaluate sources as it concerns the COVID vaccine.,1,1,1,2,3,22,2,1,2,5,1,2,3,The FRE method is easy to remember and might be good to keep in mind,1,3,0,1,3
100,735,1,1,1,4,1,1,5,3,5,1,1,,1,I think the purpose of the study was to determine individuals stances on COVID-19.,2,1,1,2,3,20,2,1,2,1,2,2,4,,1,3,0,1,3
100,307,1,1,1,5,6,3,5,5,4,1,1,,1,The purpose of this study was to see the validity of a whistleblower's theory on the COVID vaccine. ,1,1,1,1,3,27,2,1,2,5,1,2,3,,1,2,0,1,2
100,208,1,1,1,4,3,3,3,4,4,1,1,,1,To see people's perspectives on the covid-19 vaccine and their subsequent willingness to receive the vaccine.,1,3,2,1,3,22,2,1,2,1,3,3,1,,1,5,0,0,2
100,162,1,1,1,1,2,1,4,4,4,1,1,,1,assess feelings about COVID-19 and vaccine,1,1,1,2,3,25,2,2,2,5,1,3,2,,1,6,0,0,3
100,271,1,1,1,2,2,1,4,6,4,1,1,,1,To see how being asked to think critically affects one's reactions to misinformation,2,1,1,2,3,29,2,3,1,5,1,2,2,,1,2,0,1,2
100,260,1,1,1,4,4,3,4,2,3,1,1,,1,Find out bias for covid vaccine,2,1,2,2,3,31,1,2,2,1,1,4,3,interesting topic,1,6,0,0,3
100,320,1,1,1,3,2,3,3,2,4,1,1,,1,To study how people would respond to these questions relating to the Coronavirus.,2,3,1,1,3,20,1,1,2,1,1,2,1,,1,5,0,0,2
100,307,1,1,1,3,1,3,5,5,5,1,1,,1,"I honestly have no idea. I thought it was about social media, then maybe about Facts or Rejection, now its asking about COVID 19",1,3,1,1,3,25,1,1,2,1,3,3,2,,1,3,0,1,3
100,282,1,1,1,6,1,1,3,4,5,1,1,,1,What people think about COVID-19.,1,1,1,1,3,20,2,1,2,5,1,2,2,,1,4,0,0,1
100,40,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,NA,NA
100,303,1,1,1,1,2,1,3,3,4,1,1,,1,"I'm not sure, as the type of questions kept changing.",1,1,2,2,3,21,1,2,2,5,1,3,2,,1,3,0,1,3
100,452,1,1,1,2,1,1,3,3,4,1,1,,1,"To record how misinformation can sway thoughts on subjects, in this case Covid-19 and the vaccine.",2,1,1,1,3,22,1,1,2,5,1,3,3,None good survey,1,5,0,0,2
100,190,1,1,1,1,1,1,2,4,4,1,1,,1,I think its to see how people draw conclusions from limited information.,1,1,1,2,3,20,1,1,2,5,1,2,3,,1,4,0,0,1
100,258,1,1,1,7,3,1,5,5,5,1,1,,1,I am not really sure ,1,1,1,2,3,21,2,1,2,1,2,3,2,,1,4,0,0,1
100,238,1,1,1,1,1,1,4,4,5,1,1,,1,I don't know what the purpose of the study is,1,1,1,1,3,28,2,3,1,5,1,2,2,,1,3,0,1,3
