"","case_id","country","age","sex","agreeable_score","extraversion_score","openness_score","conscientiousness_score","neuroticism_score"
"724",787,"USA",19,2,0.553333333333333,0.61,0.523333333333333,0.463333333333333,0.756666666666667
"725",788,"USA",16,2,0.75,0.78,0.856666666666667,0.62,0.64
"726",789,"USA",15,2,0.663333333333333,0.813333333333333,0.663333333333333,0.666666666666667,0.626666666666667
"727",790,"USA",13,2,0.693333333333333,0.473333333333333,0.57,0.676666666666667,0.773333333333333
"728",791,"USA",20,2,0.53,0.603333333333333,0.83,0.633333333333333,0.493333333333333
"729",792,"USA",21,1,0.75,0.696666666666667,0.653333333333333,0.783333333333333,0.573333333333333
"730",794,"USA",18,2,0.816666666666667,0.696666666666667,0.83,0.766666666666667,0.713333333333333
"731",795,"USA",18,1,0.68,0.676666666666667,0.666666666666667,0.696666666666667,0.663333333333333
"733",797,"USA",19,2,0.843333333333333,0.623333333333333,0.693333333333333,0.853333333333333,0.536666666666667
"734",798,"USA",49,2,0.83,0.776666666666667,0.67,0.726666666666667,0.573333333333333
"735",799,"USA",46,2,0.72,0.416666666666667,0.57,0.793333333333333,0.55
"740",804,"USA",26,1,0.586666666666667,0.593333333333333,0.553333333333333,0.716666666666667,0.436666666666667
"741",805,"USA",18,2,0.77,0.85,0.75,0.78,0.38
"742",806,"USA",20,2,0.703333333333333,0.73,0.733333333333333,0.48,0.676666666666667
"743",807,"USA",18,2,0.68,0.586666666666667,0.736666666666667,0.653333333333333,0.673333333333333
"744",808,"USA",23,2,0.796666666666667,0.63,0.69,0.763333333333333,0.69
"745",809,"USA",20,1,0.563333333333333,0.683333333333333,0.8,0.636666666666667,0.56
"746",810,"USA",16,2,0.52,0.78,0.853333333333333,0.473333333333333,0.716666666666667
"747",811,"USA",19,2,0.756666666666667,0.603333333333333,0.65,0.86,0.64
"748",812,"USA",20,2,0.83,0.75,0.776666666666667,0.563333333333333,0.493333333333333
"750",814,"USA",18,2,0.633333333333333,0.73,0.696666666666667,0.54,0.696666666666667
"751",816,"USA",18,2,0.863333333333333,0.696666666666667,0.63,0.77,0.516666666666667
"752",817,"USA",18,2,0.64,0.6,0.856666666666667,0.606666666666667,0.653333333333333
"753",818,"USA",31,2,0.63,0.61,0.716666666666667,0.603333333333333,0.72
"754",819,"USA",27,2,0.73,0.563333333333333,0.813333333333333,0.696666666666667,0.66
"756",821,"USA",69,2,0.85,0.553333333333333,0.693333333333333,0.79,0.576666666666667
"759",824,"USA",32,2,0.716666666666667,0.673333333333333,0.71,0.82,0.523333333333333
"760",825,"USA",24,2,0.566666666666667,0.82,0.743333333333333,0.7,0.473333333333333
"761",826,"USA",31,2,0.633333333333333,0.656666666666667,0.686666666666667,0.903333333333333,0.45
"762",827,"USA",38,2,0.71,0.653333333333333,0.836666666666667,0.636666666666667,0.663333333333333
"763",828,"USA",48,2,0.763333333333333,0.606666666666667,0.69,0.783333333333333,0.57
"765",830,"USA",19,2,0.566666666666667,0.59,0.636666666666667,0.79,0.686666666666667
"766",831,"USA",28,1,0.726666666666667,0.826666666666667,0.583333333333333,0.806666666666667,0.383333333333333
"768",833,"USA",13,2,0.693333333333333,0.9,0.75,0.76,0.493333333333333
"770",835,"USA",27,2,0.726666666666667,0.796666666666667,0.666666666666667,0.77,0.453333333333333
"773",838,"USA",21,2,0.713333333333333,0.81,0.89,0.866666666666667,0.54
"774",839,"USA",20,1,0.543333333333333,0.67,0.75,0.793333333333333,0.73
"775",840,"USA",18,2,0.623333333333333,0.71,0.673333333333333,0.703333333333333,0.48
"776",841,"USA",29,1,0.71,0.58,0.726666666666667,0.706666666666667,0.533333333333333
"777",842,"USA",21,2,0.74,0.673333333333333,0.906666666666667,0.64,0.786666666666667
"779",844,"USA",18,2,0.76,0.603333333333333,0.81,0.636666666666667,0.676666666666667
"780",846,"USA",16,2,0.673333333333333,0.79,0.846666666666667,0.563333333333333,0.643333333333333
"781",847,"USA",23,1,0.66,0.663333333333333,0.893333333333333,0.753333333333333,0.64
"782",848,"USA",24,2,0.736666666666667,0.806666666666667,0.756666666666667,0.85,0.49
"783",849,"USA",39,2,0.746666666666667,0.663333333333333,0.743333333333333,0.776666666666667,0.603333333333333
"784",850,"USA",28,2,0.64,0.666666666666667,0.64,0.67,0.783333333333333
"785",851,"USA",17,1,0.65,0.603333333333333,0.72,0.613333333333333,0.57
"786",852,"USA",17,2,0.443333333333333,0.58,0.746666666666667,0.51,0.816666666666667
"787",853,"USA",23,2,0.76,0.793333333333333,0.946666666666667,0.503333333333333,0.503333333333333
"789",855,"USA",40,2,0.913333333333333,0.52,0.726666666666667,0.716666666666667,0.7
"790",856,"USA",19,2,0.703333333333333,0.603333333333333,0.746666666666667,0.63,0.743333333333333
"791",857,"USA",20,2,0.603333333333333,0.5,0.78,0.583333333333333,0.863333333333333
